date,demand_forecast,traffic_forecast,orders_forecast,units_forecast
2024-07-22,356854.0298,166598.52,2832.17484,9912.61194
2024-07-23,347222.7713,167014.32,2755.73628,9645.07698
2024-07-24,334741.7858,161010.96,2656.68084,9298.38294
2024-07-25,365210.4456,165628.32,2898.4956,10144.7346
2024-07-26,345140.7775,144169.08,2739.21252,9587.24382
2024-07-27,312845.8583,141040.68,2468.2119,8021.688675
2024-07-28,321152.2142,149043.84,2533.74528,8234.67216
2024-07-29,334778.5085,155367.68,2641.25056,8584.06432
2024-07-30,318961.4571,152512.8,2516.4612,8178.4989
2024-07-31,324260.1331,160843.32,2573.49312,7720.47936
2024-08-01,335388.8462,171730.08,2661.81624,7985.44872
2024-08-02,326672.6614,172842.678,2592.64017,7777.92051
2024-08-03,328569.3608,179840.92,2607.69334,7823.08002
2024-08-04,348068.0775,175987.5,2727.80625,7910.638125
2024-08-05,334693.0072,169224.9,2622.98595,7606.659255
2024-08-06,327861.1565,160590.3,2569.4448,7451.38992
2024-08-07,350975.0416,161799.3,2750.5881,7976.70549
2024-08-08,258410.88,147900,1922.7,4614.48
2024-08-09,255902.2502,146464.2,1904.0346,4569.68304
2024-08-10,263216.641,150650.55,1958.45715,4700.29716
2024-08-11,266082.4858,152290.8,1979.7804,4751.47296
2024-08-12,269928.6845,154492.15,2008.39795,4820.15508
2024-08-13,297981.8544,151598.42,2122.37788,5730.420276
2024-08-14,296205.5416,150694.72,2109.72608,5696.260416
2024-08-15,293037.9379,149083.2,2087.1648,5635.34496
2024-08-16,255902.2502,146464.2,1904.0346,4569.68304
2024-08-17,263216.641,150650.55,1958.45715,4700.29716
2024-08-18,266082.4858,152290.8,1979.7804,4751.47296
2024-08-19,472262.3514,166582.84,3748.1139,13118.39865
2024-08-20,479476.499,172971.32,3805.36904,13318.79164
2024-08-21,447369.804,169074,3550.554,12426.939
2024-08-22,252911.295,147050,1911.65,4683.5425
2024-08-23,257307.7894,149606.25,1944.88125,4764.959063
2024-08-24,267358.455,155450,2020.85,4951.0825
2024-08-25,264457.3277,153763.2,1998.9216,4897.35792
2024-08-26,260183.0322,151278,1966.614,4818.2043
2024-08-27,378308.2668,159542.96,2552.68736,7275.158976
2024-08-28,392251.9364,155692.6,2646.7742,7543.30647
2024-08-29,398769.9206,149486.4,2690.7552,7668.65232
2024-08-30,438166.638,151620,2956.59,8426.2815
2024-08-31,422413.9265,158349.8,2850.2964,8123.34474
2024-09-01,441067.66,185349,3042,8245
2024-09-02,642010.96,183856,4144,12262
2024-09-03,346192.12,164877,2379,6475
2024-09-04,367165.63,165728,2524,6801
2024-09-05,265824.25,151954,2004,4454
2024-09-06,280972.34,150471,2149,4747
2024-09-07,247514.58,159691,1823,4083
2024-09-08,279456,172773,1992,4578
2024-09-09,301771.03,148040,1999,5278
2024-09-10,236725.97,156910,1731,3793
2024-09-11,263290.84,153872,1911,4299
2024-09-12,271870.31,148841,2000,4419
2024-09-13,303402.73,152973,2179,4809
2024-09-14,261497.51,155160,1793,4152
2024-09-15,281419.13,168185,1952,4572
2024-09-16,267516.7088,153414.6,1917.6825,4314.785625
2024-09-17,295589.8156,154153.75,2003.99875,5009.996875
2024-09-18,524122.1296,200054.25,4101.112125,14558.94804
2024-09-19,562050.7893,199904.25,4397.8935,15612.52193
2024-09-20,543523.3613,197810.3,4252.92145,15097.87115
2024-09-21,523315.2355,194990.4,4094.7984,14536.53432
2024-09-22,322208.2133,157906.5,2210.691,5858.33115
2024-09-23,359743.3594,157450.7,2519.2112,6423.98856
2024-09-24,392465.2173,183480.7,2752.2105,6330.08415
2024-09-25,368396.5824,161238,2579.808,6578.5104
2024-09-26,362289.0835,158564.9,2537.0384,6469.44792
2024-09-27,508778.4888,196895.7,3937.914,13388.9076
2024-09-28,558534.746,201070.9,4323.02435,14698.28279
2024-09-29,544224.1309,205476.15,4212.261075,14321.68766
2024-09-30,528225.9312,204421.8,4088.436,13900.6824
2024-10-01,364111.2115,159362.4,2549.7984,6501.98592
2024-10-02,362591.7281,158697.36,2539.15776,6474.852288
2024-10-03,364614.096,159582.5,2553.32,6510.966
2024-10-04,363017.592,158883.75,2542.14,6482.457
2024-10-05,378921.1246,177772.05,2666.58075,6533.122838
2024-10-06,330639.6912,165386,2315.404,5904.2802
2024-10-07,327740.4585,170007.5,2295.10125,5852.508188
2024-10-08,344097.6615,182826.45,2650.983525,7820.401399
2024-10-09,378800.2919,201264.7,2918.33815,8609.097543
2024-10-10,435026.406,182366.6,2826.6823,7632.04221
2024-10-11,303867.9123,168646.86,2192.40918,4823.300196
2024-10-12,285680.1197,164894.73,2061.184125,4534.605075
2024-10-13,295562.3344,170598.75,2132.484375,4691.465625
2024-10-14,292889.52,169056,2113.2,4649.04
2024-10-15,298675.377,172395.6,2154.945,4740.879
2024-10-16,422071.545,190766.8,2861.502,7153.755
2024-10-17,447424.5825,202225.8,3033.387,7583.4675
2024-10-18,482057.73,217879.2,3268.188,8170.47
2024-10-19,440792.5253,206098.2,2988.4239,7471.05975
2024-10-20,455933.828,220791.2,3091.0768,7727.692
