channel,sku,date,inventory_units,inventory_cost,inventory_retail
004:ECOM FULL PRICE,197516650307,4/19/2025,215,823.45,12685
004:ECOM FULL PRICE,197516650314,4/19/2025,333,1275.39,19647
004:ECOM FULL PRICE,197516650321,4/19/2025,302,1156.66,17818
004:ECOM FULL PRICE,197516650338,4/19/2025,242,926.86,14278
004:ECOM FULL PRICE,197516650345,4/19/2025,136,520.88,8024
004:ECOM FULL PRICE,197516650352,4/19/2025,132,505.56,7788
004:ECOM FULL PRICE,197516650376,4/19/2025,43,165.12,2537
004:ECOM FULL PRICE,197516650383,4/19/2025,98,376.32,5782
004:ECOM FULL PRICE,197516650390,4/19/2025,171,656.64,10089
004:ECOM FULL PRICE,197516650406,4/19/2025,139,533.76,8201
004:ECOM FULL PRICE,197516650413,4/19/2025,108,414.72,6372
004:ECOM FULL PRICE,197516650420,4/19/2025,63,241.92,3717
004:ECOM FULL PRICE,197516650437,4/19/2025,77,295.68,4543
004:ECOM FULL PRICE,197516650451,4/19/2025,58,218.66,3422
004:ECOM FULL PRICE,197516650468,4/19/2025,142,535.34,8378
004:ECOM FULL PRICE,197516650475,4/19/2025,216,814.32,12744
004:ECOM FULL PRICE,197516650482,4/19/2025,197,742.69,11623
004:ECOM FULL PRICE,197516650499,4/19/2025,155,584.35,9145
004:ECOM FULL PRICE,197516650505,4/19/2025,92,346.84,5428
004:ECOM FULL PRICE,197516650512,4/19/2025,105,395.85,6195
004:ECOM FULL PRICE,197516650543,4/19/2025,35,231,2765
004:ECOM FULL PRICE,197516650550,4/19/2025,76,501.6,6004
004:ECOM FULL PRICE,197516650567,4/19/2025,99,653.4,7821
004:ECOM FULL PRICE,197516650574,4/19/2025,103,679.8,8137
004:ECOM FULL PRICE,197516650581,4/19/2025,86,516,6794
004:ECOM FULL PRICE,197516650598,4/19/2025,79,521.4,6241
004:ECOM FULL PRICE,197516650697,4/19/2025,56,222.88,3304
004:ECOM FULL PRICE,197516650703,4/19/2025,149,593.02,8791
004:ECOM FULL PRICE,197516650710,4/19/2025,267,1062.66,15753
004:ECOM FULL PRICE,197516650727,4/19/2025,302,1201.96,17818
004:ECOM FULL PRICE,197516650734,4/19/2025,255,1014.9,15045
004:ECOM FULL PRICE,197516650741,4/19/2025,202,803.96,11918
004:ECOM FULL PRICE,197516650758,4/19/2025,187,744.26,11033
004:ECOM FULL PRICE,197516650772,4/19/2025,49,198.45,2891
004:ECOM FULL PRICE,197516650789,4/19/2025,126,510.3,7434
004:ECOM FULL PRICE,197516650796,4/19/2025,217,878.85,12803
004:ECOM FULL PRICE,197516650802,4/19/2025,246,996.3,14514
004:ECOM FULL PRICE,197516650819,4/19/2025,217,878.85,12803
004:ECOM FULL PRICE,197516650826,4/19/2025,161,652.05,9499
004:ECOM FULL PRICE,197516650833,4/19/2025,151,611.55,8909
004:ECOM FULL PRICE,197516650857,4/19/2025,43,172.43,2537
004:ECOM FULL PRICE,197516650864,4/19/2025,111,445.11,6549
004:ECOM FULL PRICE,197516650871,4/19/2025,179,717.79,10561
004:ECOM FULL PRICE,197516650888,4/19/2025,225,902.25,13275
004:ECOM FULL PRICE,197516650895,4/19/2025,197,789.97,11623
004:ECOM FULL PRICE,197516650901,4/19/2025,146,585.46,8614
004:ECOM FULL PRICE,197516650918,4/19/2025,131,525.31,7729
004:ECOM FULL PRICE,197516650949,4/19/2025,1,3.86,59
004:ECOM FULL PRICE,197516650970,4/19/2025,1,3.86,59
004:ECOM FULL PRICE,197516651014,4/19/2025,40,168,2360
004:ECOM FULL PRICE,197516651021,4/19/2025,85,357,5015
004:ECOM FULL PRICE,197516651038,4/19/2025,146,613.2,8614
004:ECOM FULL PRICE,197516651045,4/19/2025,156,655.2,9204
