date,country_code,sessions,purchases,revenue
2023-06-02,CA,1418,12,2262.62
2023-06-02,GB,1303,5,1496.26
2023-06-03,CA,1550,6,944.46
2023-06-03,GB,1323,4,943.53
2023-06-04,CA,1776,12,1906.57
2023-06-04,GB,1501,6,1257.56
2023-06-05,CA,1876,7,1816.34
2023-06-05,GB,1357,4,1310.38
2023-06-06,CA,1878,10,2146.93
2023-06-06,GB,1264,5,1062.08
2023-06-07,CA,1771,11,1857.89
2023-06-07,GB,1202,3,577.68
2023-06-08,CA,1566,4,528.57
2023-06-08,GB,1179,5,2069.64
2023-06-09,CA,1490,10,3127.83
2023-06-09,GB,1010,5,880.65
2023-06-10,CA,1550,8,2528.4
2023-06-10,GB,1135,9,1521.56
2023-06-11,CA,1713,7,2421.71
2023-06-11,GB,1214,6,1307.86
2023-06-12,CA,1804,6,1594.93
2023-06-12,GB,1338,3,778.6
2023-06-13,CA,2250,8,802.21
2023-06-13,GB,1290,4,800.48
2023-06-14,CA,1793,10,2295.84
2023-06-14,GB,1163,3,404.26
2023-06-15,CA,1823,5,887.95
2023-06-15,GB,1190,3,583.54
2023-06-16,CA,1590,13,2937.34
2023-06-16,GB,1021,5,900.23
2023-06-17,CA,1620,10,2272.61
2023-06-17,GB,1230,2,316.51
2023-06-18,CA,1902,2,496.62
2023-06-18,GB,1435,1,69.65
2023-06-19,CA,1543,4,470.48
2023-06-19,GB,1296,3,636.98
2023-06-20,CA,1730,10,2818.33
2023-06-20,GB,1380,2,797.3
2023-06-21,CA,1492,8,1644.35
2023-06-21,GB,1281,11,3084.63
2023-06-22,CA,1714,10,2428.75
2023-06-22,GB,1256,10,1868.82
2023-06-23,CA,1679,7,1570.55
2023-06-23,GB,1218,9,8005.99
2023-06-24,CA,1691,5,1621.2
2023-06-24,GB,1300,4,719.93
2023-06-25,CA,1632,5,1135.37
2023-06-25,GB,1427,5,1071.2
2023-06-26,CA,1806,10,2337.62
2023-06-26,GB,1427,8,1338.14
2023-06-27,CA,1856,8,1822.34
2023-06-27,GB,1526,12,3157.14
2023-06-28,CA,1781,8,2086.19
2023-06-28,GB,1359,8,1573.53
2023-06-29,CA,1862,6,1080.11
2023-06-29,GB,1426,10,2648.4
2023-06-30,CA,1823,13,3548.41
2023-06-30,GB,1291,6,1146.88
2023-07-01,CA,1926,7,1950.83
2023-07-01,GB,1679,10,2078.62
2023-07-02,CA,2235,10,1951.78
2023-07-02,GB,1786,7,1500.6
2023-07-03,CA,2272,10,2854.94
2023-07-03,GB,1569,3,1106.34
2023-07-04,CA,2024,8,2088.94
2023-07-04,GB,1532,12,2353.85
2023-07-05,CA,1864,10,1993.84
2023-07-05,GB,1486,4,574.16
2023-07-06,CA,1593,6,1195.63
2023-07-06,GB,1389,10,1462.65
2023-07-07,CA,1542,13,2391.07
2023-07-07,GB,1146,1,138.49
2023-07-08,CA,1541,6,1986.24
2023-07-08,GB,1266,5,1162.62
2023-07-09,CA,1640,11,1801.48
2023-07-09,GB,1520,5,1644.49
2023-07-10,CA,1672,6,1591.31
2023-07-10,GB,1478,3,445.58
2023-07-11,CA,1842,7,1400
2023-07-11,GB,1643,7,1574.74
2023-07-12,CA,1789,8,1533.68
2023-07-12,GB,1593,3,384.6
2023-07-13,CA,1785,9,2084.87
2023-07-13,GB,1757,7,937.37
2023-07-14,CA,1794,9,1883.07
2023-07-14,GB,1573,3,870.63
2023-07-15,CA,1916,8,1276.2
2023-07-15,GB,1660,6,1774.28
2023-07-16,CA,2047,16,3392.22
2023-07-16,GB,2025,10,1698.01
2023-07-17,CA,1966,11,3240.51
2023-07-17,GB,1827,3,535.03
2023-07-18,CA,1768,12,2295.03
2023-07-18,GB,1576,7,1081.67
2023-07-19,CA,1834,7,1467.28
2023-07-19,GB,1512,1,205.8
2023-07-20,CA,1872,10,3629.43
2023-07-20,GB,1635,1,177.43
2023-07-21,CA,1641,9,3078.27
2023-07-21,GB,1473,5,599.93
2023-07-22,CA,1694,4,841.44
2023-07-22,GB,1649,6,978.31
2023-07-23,CA,1781,5,1794.13
2023-07-23,GB,1762,5,1148.99
2023-07-24,CA,1880,5,832.93
2023-07-24,GB,1673,4,513.16
2023-07-25,CA,1646,7,969.02
2023-07-25,GB,1572,6,1259.79
2023-07-26,CA,1626,9,3605.4
2023-07-26,GB,1583,5,1373.78
2023-07-27,CA,1923,8,1986.61
2023-07-27,GB,1806,5,832.77
2023-07-28,CA,1606,7,1957.89
2023-07-28,GB,1655,8,1700.28
2023-07-29,CA,1743,6,1469.48
2023-07-29,GB,1853,7,1175.09
2023-07-30,CA,1558,8,1799.11
2023-07-30,GB,1819,10,2011.36
2023-07-31,CA,1700,7,1439.72
2023-07-31,GB,1803,4,1322.94
2023-08-01,CA,1600,3,328.74
2023-08-01,GB,1688,4,707.69
2023-08-02,CA,1630,7,2268.72
2023-08-02,GB,1802,3,536.97
2023-08-03,CA,1717,9,3256.87
2023-08-03,GB,1591,4,817.02
2023-08-04,CA,1580,8,3219.62
2023-08-04,GB,1553,5,568.47
2023-08-05,CA,1687,8,2186.82
2023-08-05,GB,1636,5,2016.81
2023-08-06,CA,1750,5,1747.09
2023-08-06,GB,1608,5,1520.49
2023-08-07,CA,1922,10,2748.91
2023-08-07,GB,1435,8,2528.47
2023-08-08,CA,1953,6,1317.13
2023-08-08,GB,1546,5,1273.71
2023-08-09,CA,1735,6,1907.45
2023-08-09,GB,1469,4,615.53
2023-08-10,CA,1702,4,452.67
2023-08-10,GB,1325,3,513.53
2023-08-11,CA,1672,3,713.79
2023-08-11,GB,1362,1,367.43
2023-08-12,CA,1681,7,1115.1
2023-08-12,GB,1262,7,1835.39
2023-08-13,CA,1836,2,378.09
2023-08-13,GB,1551,4,895.34
2023-08-14,CA,1995,7,2180.68
2023-08-14,GB,1607,2,504.66
2023-08-15,CA,2023,7,869.79
2023-08-15,GB,1504,2,2837.35
2023-08-16,CA,2018,8,1180.83
2023-08-16,GB,1451,4,1024.68
2023-08-17,CA,1746,3,181.91
2023-08-17,GB,1378,2,505.88
2023-08-18,CA,1736,10,1533.69
2023-08-18,GB,1538,4,1397.81
2023-08-19,CA,1831,7,1570.91
2023-08-19,GB,1452,8,2569.19
2023-08-20,CA,1845,13,4407.37
2023-08-20,GB,1480,6,1858.27
2023-08-21,CA,2016,9,1431.33
2023-08-21,GB,1611,2,242.72
2023-08-22,CA,1959,7,1265.87
2023-08-22,GB,1502,3,399.45
2023-08-23,CA,2012,7,1868.3
2023-08-23,GB,1536,3,916.11
2023-08-24,CA,1892,9,2457.38
2023-08-24,GB,1541,6,1216.69
2023-08-25,CA,1748,3,737.19
2023-08-25,GB,1503,6,667.85
2023-08-26,CA,1732,4,1978.17
2023-08-26,GB,1429,5,995.21
2023-08-27,CA,1908,11,2947.2
2023-08-27,GB,1610,7,1712.82
2023-08-28,CA,1716,7,1028.37
2023-08-28,GB,1643,5,1324.07
2023-08-29,CA,1813,7,960.98
2023-08-29,GB,1736,9,1747.46
2023-08-30,CA,1655,6,1486.03
2023-08-30,GB,1610,5,1319.69
2023-08-31,CA,1807,9,1358.04
2023-08-31,GB,1829,13,1932.56
2023-09-01,CA,1706,9,3245.95
2023-09-01,GB,1643,5,1682.64
2023-09-02,CA,1824,12,2588.8
2023-09-02,GB,1614,6,1574.08
2023-09-03,CA,2035,9,1878.75
2023-09-03,GB,1677,11,2710.65
2023-09-04,CA,2294,12,2151.52
2023-09-04,GB,1623,7,1404.21
2023-09-05,CA,1907,11,2271.36
2023-09-05,GB,1737,7,1230.03
2023-09-06,CA,1682,8,1566.56
2023-09-06,GB,1366,5,1449.07
2023-09-07,CA,1705,3,604.59
2023-09-07,GB,1360,4,1277.03
2023-09-08,CA,1524,7,1372.47
2023-09-08,GB,1292,7,1041.19
2023-09-09,CA,1635,5,829.04
2023-09-09,GB,1373,6,1167.83
2023-09-10,CA,1802,7,1997.87
2023-09-10,GB,1633,5,1829.63
2023-09-11,CA,1703,3,644.61
2023-09-11,GB,1545,5,1659.14
2023-09-12,CA,1902,2,320.74
2023-09-12,GB,1582,5,1139.35
2023-09-13,CA,1834,5,670.1
2023-09-13,GB,1580,4,753.81
2023-09-14,CA,1744,8,1203.78
2023-09-14,GB,1612,9,2135.9
2023-09-15,CA,1644,4,1871.18
2023-09-15,GB,1334,8,1991.13
2023-09-16,CA,1916,7,1874.36
2023-09-16,GB,1538,5,1248.67
2023-09-17,CA,1821,11,4589.74
2023-09-17,GB,1723,7,1144.52
2023-09-18,CA,2098,11,2144.56
2023-09-18,GB,1767,8,2463.11
2023-09-19,CA,1935,14,2934.38
2023-09-19,GB,1655,2,294.44
2023-09-20,CA,1818,9,2062.23
2023-09-20,GB,1720,4,694.56
2023-09-21,CA,1687,9,2811.6
2023-09-21,GB,1720,6,1121.36
2023-09-22,CA,2153,8,1908.71
2023-09-22,GB,1741,9,1848.11
2023-09-23,CA,2383,13,2792.33
2023-09-23,GB,1838,4,922.16
2023-09-24,CA,2214,8,963.62
2023-09-24,GB,2281,6,1897.69
2023-09-25,CA,1834,3,448.35
2023-09-25,GB,2009,8,1912.34
2023-09-26,CA,1883,11,2551.24
2023-09-26,GB,1745,3,475.22
2023-09-27,CA,1935,3,754.04
2023-09-27,GB,1851,6,1379.41
2023-09-28,CA,1884,8,1473
2023-09-28,GB,1734,4,931.44
2023-09-29,CA,1733,6,1317.59
2023-09-29,GB,1772,5,1300.28
2023-09-30,CA,1941,8,2366.14
2023-09-30,GB,1832,7,1213.97
2023-10-01,CA,1932,4,758.2
2023-10-01,GB,2054,12,3575.2
2023-10-02,CA,1808,7,1353.3
2023-10-02,GB,1985,7,1476.71
2023-10-03,CA,1847,6,1453.23
2023-10-03,GB,1809,9,2068.94
2023-10-04,CA,2403,5,775.9
2023-10-04,GB,2889,7,927.9
2023-10-05,CA,1979,5,1386
2023-10-05,GB,2565,5,906.87
2023-10-06,CA,1722,4,2407.61
2023-10-06,GB,1778,8,1500.7
2023-10-07,CA,1729,2,539.46
2023-10-07,GB,1721,3,712.7
2023-10-08,CA,2039,9,1960.31
2023-10-08,GB,2073,6,1649.64
2023-10-09,CA,2062,8,2046.36
2023-10-09,GB,1733,2,436.06
2023-10-10,CA,1795,6,1131.43
2023-10-10,GB,1471,7,2287.1
2023-10-11,CA,1976,6,1458.58
2023-10-11,GB,1754,5,858
2023-10-12,CA,1940,6,1330.02
2023-10-12,GB,1971,5,1605.19
2023-10-13,CA,1977,10,2239.58
2023-10-13,GB,1994,8,2274.07
2023-10-14,CA,2124,6,1403.53
2023-10-14,GB,1908,11,2812.94
2023-10-15,CA,2164,9,2439.22
2023-10-15,GB,2140,6,1240.55
2023-10-16,CA,1877,7,1773.74
2023-10-16,GB,1968,6,1730.08
2023-10-17,CA,1945,6,1742.81
2023-10-17,GB,1894,7,1409.29
2023-10-18,CA,1952,8,2231.22
2023-10-18,GB,1973,7,1641.59
2023-10-19,CA,1845,8,1280.94
2023-10-19,GB,1885,4,772.47
2023-10-20,CA,1912,9,2458.54
2023-10-20,GB,1752,2,295.83
2023-10-21,CA,2205,4,1032.3
2023-10-21,GB,2152,6,1465.5
2023-10-22,CA,2314,10,1911.21
2023-10-22,GB,2576,11,3569.74
2023-10-23,CA,2059,9,2019.96
2023-10-23,GB,2333,8,2212.8
2023-10-24,CA,2151,10,3317.52
2023-10-24,GB,2187,7,1460.24
2023-10-25,CA,2346,8,3863.68
2023-10-25,GB,2634,20,5157.92
2023-10-26,CA,2081,11,1811.57
2023-10-26,GB,2077,6,1568.72
2023-10-27,CA,2071,8,1683
2023-10-27,GB,1924,4,731.52
2023-10-28,CA,2050,7,2943.47
2023-10-28,GB,1969,8,2404.52
2023-10-29,CA,1930,5,576.85
2023-10-29,GB,2053,8,2544.33
2023-10-30,CA,1809,5,645.29
2023-10-30,GB,1827,2,693.3
2023-10-31,CA,1614,5,1065.23
2023-10-31,GB,1738,9,2033.94
2023-11-01,CA,2032,11,4091.86
2023-11-01,GB,2042,8,2395.04
