date,sessions,purchases,revenue
2023-12-30,2718,20,3042.11
2023-12-31,2373,19,3641.37
2024-01-01,2313,12,1765.98
2024-01-02,2232,14,2482.47
2024-01-03,2206,20,4624.38
2024-01-04,2063,18,2959.27
2024-01-05,2300,17,3076.69
2024-01-06,2385,26,5049.81
2024-01-07,2672,19,3484.98
2024-01-08,2437,18,3665.11
2024-01-09,2315,18,3526.96
2024-01-10,2264,22,3936.66
2024-01-11,2168,16,2842.69
2024-01-12,2237,15,3602.16
2024-01-13,2344,17,4914.76
2024-01-14,2370,13,2143.05
2024-01-15,1992,13,2937.44
2024-01-16,2129,11,1490.48
2024-01-17,2130,21,4062.99
2024-01-18,2173,16,3545.7
2024-01-19,2294,11,1883.79
2024-01-20,2373,22,3767.34
2024-01-21,2216,23,3383.03
2024-01-22,2047,13,3547.13
2024-01-23,1960,9,2384.16
2024-01-24,1983,9,2239.08
2024-01-25,1912,16,2874.87
2024-01-26,1815,17,2651.86
2024-01-27,1982,10,2190.67
2024-01-28,2005,13,1746.52
2024-01-29,1922,10,1808.79
2024-01-30,1850,9,1763.45
2024-01-31,1833,11,1555.08
2024-02-01,1869,14,1953.8
2024-02-02,1698,10,1152.23
2024-02-03,2007,14,2926.5
2024-02-04,2136,14,2563.37
2024-02-05,1782,7,1576.74
2024-02-06,1831,14,2338.92
2024-02-07,1776,6,789.58
2024-02-08,1936,11,2574.65
2024-02-09,1764,11,1392.36
2024-02-10,2019,13,2879.58
2024-02-11,1969,17,3391.61
2024-02-12,1813,5,724.3
2024-02-13,1803,8,1374.93
2024-02-14,1622,15,4260.15
2024-02-15,1839,13,2278.06
2024-02-16,1865,14,5070
2024-02-17,1862,12,1587.18
2024-02-18,2114,10,2449.12
2024-02-19,2004,19,3525.7
2024-02-20,1982,13,2154.19
2024-02-21,1975,16,3420.6
2024-02-22,1801,5,524.54
2024-02-23,1763,22,3169.69
2024-02-24,1992,15,1275.65
2024-02-25,2025,7,812
2024-02-26,1964,11,2145.84
2024-02-27,1906,15,2644.98
2024-02-28,1933,16,5191.7
2024-02-29,1823,8,1446.37
2024-03-01,1812,19,3580.5
2024-03-02,1981,13,1862.77
2024-03-03,2131,13,1926.79
2024-03-04,1900,16,3497.13
2024-03-05,1801,7,1901.2
2024-03-06,1940,14,2708.04
2024-03-07,1992,10,1951.92
2024-03-08,1853,13,2530
2024-03-09,2269,30,8194.85
2024-03-10,2249,12,2718.41
2024-03-11,2338,11,1998.27
2024-03-12,1920,9,1587.17
2024-03-13,1813,10,1578.51
2024-03-14,1844,19,3361.76
2024-03-15,1829,20,3308.64
2024-03-16,1877,14,2525.54
2024-03-17,1880,14,3733.93
2024-03-18,1926,15,1833.2
2024-03-19,1883,15,4493.18
2024-03-20,1906,11,2265.33
2024-03-21,1896,12,2010.96
2024-03-22,1966,14,2698.16
2024-03-23,2163,17,4491.45
2024-03-24,2218,11,2754.49
2024-03-25,2053,22,4279.17
2024-03-26,1921,11,1574.88
2024-03-27,1737,11,1669.69
2024-03-28,1871,15,2797.42
2024-03-29,1973,14,2195.01
2024-03-30,2006,17,4269.19
2024-03-31,1930,11,1766.6
2024-04-01,2228,12,1983.72
2024-04-02,5107,12,1656.33
2024-04-03,3916,16,2816.06
2024-04-04,1874,16,3047.8
2024-04-05,4724,9,1634.62
2024-04-06,2942,16,4596.51
2024-04-07,2274,13,3714.22
2024-04-08,2008,8,1366.88
2024-04-09,1802,12,3514.02
2024-04-10,2127,18,3914.99
2024-04-11,4081,16,6057.79
2024-04-12,2058,22,3760.92
2024-04-13,2404,18,3365.63
2024-04-14,2185,16,2173.39
2024-04-15,2001,8,1140.56
2024-04-16,2056,13,2392.73
2024-04-17,2392,10,2977.07
2024-04-18,2256,16,2759.57
2024-04-19,2032,13,3810.77
2024-04-20,2095,12,1957.32
2024-04-21,2253,21,4964.52
2024-04-22,2438,14,1887.2
2024-04-23,2223,14,3882.8
2024-04-24,2006,12,2482.44
2024-04-25,1831,10,1197.23
2024-04-26,1819,11,2313.89
2024-04-27,2047,11,1855.92
2024-04-28,2268,17,3227.23
2024-04-29,1959,10,2176.06
2024-04-30,1811,9,1589.59
2024-05-01,1783,11,1859.11
2024-05-02,1750,9,1262.39
2024-05-03,1670,18,3206.67
2024-05-04,2022,11,2335.9
2024-05-05,2098,11,1202.13
2024-05-06,1911,15,3420.12
2024-05-07,1811,18,4969.39
2024-05-08,1984,13,3609
2024-05-09,2042,17,2716.56
2024-05-10,1897,15,3181.56
2024-05-11,1960,16,2838.81
2024-05-12,2034,10,2030.67
2024-05-13,1973,10,2923.67
2024-05-14,1975,9,1220.58
2024-05-15,1815,12,1825.19
2024-05-16,1995,15,2628.63
2024-05-17,1903,10,1840.71
2024-05-18,1955,17,3061.25
2024-05-19,1887,10,2180.57
2024-05-20,1997,13,2007.68
2024-05-21,1838,6,976.15
2024-05-22,2254,17,4419.84
2024-05-23,2035,12,1476.15
2024-05-24,1985,13,2245.78
2024-05-25,2114,11,3109.37
2024-05-26,2432,14,3182.05
2024-05-27,2298,11,2521.34
2024-05-28,2037,12,2383.86
2024-05-29,1871,12,2666.04
2024-05-30,1806,12,1846.68
2024-05-31,1736,15,2945.59
2024-06-01,1705,12,1604.14
2024-06-02,1923,10,2230.15
2024-06-03,1863,12,2904.12
2024-06-04,1679,15,2539.05
2024-06-05,1683,13,2333.92
2024-06-06,1615,17,2601.53
2024-06-07,1760,8,1671.44
2024-06-08,3502,12,1451.36
2024-06-09,2574,19,3313.93
2024-06-10,1848,10,2280.27
2024-06-11,1916,19,4174.35
2024-06-12,1745,20,4414.83
2024-06-13,1972,14,4330.37
2024-06-14,1846,16,3139.01
2024-06-15,1754,13,2028.74
2024-06-16,1995,12,1880.91
2024-06-17,1921,9,2525.81
2024-06-18,2429,10,1864.06
2024-06-19,1868,15,3625.5
2024-06-20,1933,13,2594.15
2024-06-21,1765,6,1412.05
2024-06-22,1691,8,2268.27
2024-06-23,2016,13,2675.92
2024-06-24,1806,16,4241.04
2024-06-25,1847,15,2612.43
2024-06-26,1685,9,3060.16
2024-06-27,1780,17,4651.81
2024-06-28,1741,15,3500.73
2024-06-29,1881,13,2458.31
2024-06-30,2181,11,1795.81
2024-07-01,1991,9,2949.79
2024-07-02,1991,11,2166.33
2024-07-03,1899,9,1737.62
2024-07-04,1850,9,2593.62
2024-07-05,1649,15,4601.62
2024-07-06,1818,12,2304.74
2024-07-07,1832,15,3285.62
2024-07-08,1813,17,3472.22
2024-07-09,1623,9,2006.65
2024-07-10,1719,16,4437.79
2024-07-11,1743,17,2925.73
2024-07-12,1790,16,2053.99
2024-07-13,1732,11,2537.02
2024-07-14,1766,13,2099.62
2024-07-15,1818,10,2484.48
2024-07-16,2061,16,4884.12
2024-07-17,1835,15,2428.32
2024-07-18,1820,17,3726.63
2024-07-19,1724,12,2019.3
2024-07-20,1673,11,1934.25
2024-07-21,1827,13,1933.66
2024-07-22,1901,2,188.52
2024-07-23,1750,10,1881.1
2024-07-24,1806,7,1130.43
2024-07-25,1774,15,1794.45
2024-07-26,1699,5,1021.3
2024-07-27,1794,11,1438.19
2024-07-28,1803,10,1865.98
2024-07-29,1924,10,2803.45
2024-07-30,1855,6,1099.45
2024-07-31,1761,15,2432.12
2024-08-01,1645,11,2430.56
2024-08-02,1758,13,1955.36
2024-08-03,1802,10,1468.99
2024-08-04,1829,10,1914.81
2024-08-05,2312,17,2781.14
2024-08-06,2016,12,3553.21
2024-08-07,1906,11,2634.5
2024-08-08,1777,7,962.68
2024-08-09,2060,17,2138.26
2024-08-10,1870,9,1280.78
2024-08-11,2033,10,1442.61
2024-08-12,2219,15,1891.9
2024-08-13,2045,8,1025.39
2024-08-14,2044,15,1424.37
2024-08-15,2044,22,4607.29
2024-08-16,2062,17,1694.97
2024-08-17,2049,10,821.54
2024-08-18,2194,10,1568.22
2024-08-19,2332,12,3440.43
2024-08-20,2308,13,3643.18
2024-08-21,2182,16,2386.15
2024-08-22,2209,19,2579.73
2024-08-23,2025,13,3934.79
2024-08-24,1970,12,1922.37
2024-08-25,2222,8,688.44
2024-08-26,2182,27,6383.11
2024-08-27,2170,17,1800.27
2024-08-28,2150,14,2133.53
2024-08-29,1975,10,993.28
2024-08-30,1956,17,2085.63
2024-08-31,2038,14,2215.24
2024-09-01,2203,14,3612.9
2024-09-02,2308,17,2478.49
2024-09-03,1834,9,2064.83
2024-09-04,2007,12,1459.81
2024-09-05,1871,18,2775.01
2024-09-06,1800,17,2116.16
2024-09-07,1946,14,2128.03
2024-09-08,2090,16,2517.35
2024-09-09,1742,7,1325.84
2024-09-10,1791,8,935.43
2024-09-11,1794,11,1361.59
2024-09-12,1687,14,1718.05
2024-09-13,1974,16,2685.51
2024-09-14,2033,9,1395.22
2024-09-15,2099,10,1331.06
2024-09-16,1811,10,1572.21
2024-09-17,1871,13,2980.93
2024-09-18,2160,13,1356.49
