date,sessions,engaged_sessions
2023-09-15,114211,92147
2023-09-16,116006,91779
2023-09-17,134859,108214
2023-09-18,140240,112899
2023-09-19,139239,110737
2023-09-20,132775,104688
2023-09-21,119931,94308
2023-09-22,114882,88594
2023-09-23,117148,91241
2023-09-24,123621,98438
2023-09-25,122685,94312
2023-09-26,137127,109173
2023-09-27,146078,117624
2023-09-28,143451,112203
2023-09-29,125399,100089
2023-09-30,130642,102057
2023-10-01,126474,101791
2023-10-02,129128,104379
2023-10-03,133542,106140
2023-10-04,153466,114191
2023-10-05,139500,111481
2023-10-06,124551,98985
2023-10-07,120134,96802
2023-10-08,135546,111641
2023-10-09,139359,111437
2023-10-10,130969,101056
2023-10-11,135124,108068
2023-10-12,142961,113132
2023-10-13,154671,120515
2023-10-14,146069,115161
2023-10-15,156482,125137
2023-10-16,157217,124192
2023-10-17,153695,120600
2023-10-18,155843,121816
2023-10-19,158303,122864
2023-10-20,139196,108972
2023-10-21,140022,112113
2023-10-22,158792,124831
2023-10-23,152125,120783
2023-10-24,128487,100701
2023-10-25,188124,153510
2023-10-26,133985,104680
2023-10-27,144808,108381
2023-10-28,122390,91277
2023-10-29,181308,142102
2023-10-30,190733,157536
2023-10-31,133290,102307
2023-11-01,158690,122983
2023-11-02,180855,136452
2023-11-03,153956,122751
2023-11-04,172819,135317
2023-11-05,177869,142532
2023-11-06,184445,145512
2023-11-07,186726,143683
2023-11-08,188633,148843
2023-11-09,193677,151082
2023-11-10,181085,145083
2023-11-11,195226,154143
2023-11-12,207120,167001
2023-11-13,208712,163502
2023-11-14,192737,151064
2023-11-15,195456,157018
2023-11-16,191215,149848
2023-11-17,190828,149501
2023-11-18,199748,160419
2023-11-19,261699,209938
2023-11-20,254664,207636
2023-11-21,260521,211938
2023-11-22,257163,210317
2023-11-23,284887,238423
2023-11-24,389893,323707
2023-11-25,347856,287631
2023-11-26,314095,265860
2023-11-27,382342,316251
2023-11-28,316539,261637
2023-11-29,298474,249668
