Date,Total Downloads
2017-10-06,118
2017-10-07,115
2017-10-08,142
2017-10-09,158
2017-10-10,119
2017-10-11,127
2017-10-12,131
2017-10-13,122
2017-10-14,121
2017-10-15,137
2017-10-16,118
2017-10-17,138
2017-10-18,101
2017-10-19,138
2017-10-20,103
2017-10-21,106
2017-10-22,150
2017-10-23,125
2017-10-24,138
2017-10-25,129
2017-10-26,123
2017-10-27,130
2017-10-28,138
2017-10-29,162
2017-10-30,161
2017-10-31,122
2017-11-01,110
2017-11-02,125
2017-11-03,115
2017-11-04,139
2017-11-05,162
2017-11-06,147
2017-11-07,142
2017-11-08,142
2017-11-09,109
2017-11-10,157
2017-11-11,139
2017-11-12,194
2017-11-13,168
2017-11-14,154
2017-11-15,151
2017-11-16,167
2017-11-17,253
2017-11-18,266
2017-11-19,294
2017-11-20,301
2017-11-21,285
2017-11-22,291
2017-11-23,356
2017-11-24,459
2017-11-25,442
2017-11-26,380
2017-11-27,488
2017-11-28,323
2017-11-29,265
2017-11-30,244
2017-12-01,229
2017-12-02,229
2017-12-03,247
2017-12-04,233
2017-12-05,197
2017-12-06,172
2017-12-07,200
2017-12-08,170
2017-12-09,217
2017-12-10,243
2017-12-11,234
2017-12-12,173
2017-12-13,179
2017-12-14,206
2017-12-15,191
2017-12-16,172
2017-12-17,185
2017-12-18,177
2017-12-19,187
2017-12-20,188
2017-12-21,208
2017-12-22,177
2017-12-23,166
2017-12-24,162
2017-12-25,223
2017-12-26,309
2017-12-27,262
2017-12-28,234
2017-12-29,214
2017-12-30,182
2017-12-31,175
2018-01-01,177
2018-01-02,218
2018-01-03,170
2018-01-04,164
2018-01-05,140
2018-01-06,116
2018-01-07,125
2018-01-08,182
2018-01-09,152
2018-01-10,134
2018-01-11,127
2018-01-12,157
2018-01-13,189
2018-01-14,179
2018-01-15,143
2018-01-16,129
2018-01-17,143
2018-01-18,127
2018-01-19,129
2018-01-20,124
2018-01-21,152
2018-01-22,129
2018-01-23,124
2018-01-24,115
2018-01-25,122
2018-01-26,117
2018-01-27,149
2018-01-28,134
2018-01-29,142
2018-01-30,125
2018-01-31,99
2018-02-01,122
2018-02-02,115
2018-02-03,120
2018-02-04,133
2018-02-05,142
2018-02-06,137
2018-02-07,124
2018-02-08,104
2018-02-09,105
2018-02-10,138
2018-02-11,139
2018-02-12,118
2018-02-13,113
2018-02-14,79
2018-02-15,109
2018-02-16,84
2018-02-17,131
2018-02-18,134
2018-02-19,147
2018-02-20,133
2018-02-21,109
2018-02-22,133
2018-02-23,90
2018-02-24,138
2018-02-25,173
2018-02-26,148
2018-02-27,112
2018-02-28,135
2018-03-01,150
2018-03-02,99
2018-03-03,148
2018-03-04,139
2018-03-05,147
2018-03-06,109
2018-03-07,119
2018-03-08,131
2018-03-09,109
2018-03-10,148
2018-03-11,158
2018-03-12,143
2018-03-13,148
2018-03-14,132
2018-03-15,107
2018-03-16,111
2018-03-17,121
2018-03-18,141
2018-03-19,118
2018-03-20,122
2018-03-21,131
2018-03-22,100
2018-03-23,101
2018-03-24,114
2018-03-25,144
2018-03-26,118
2018-03-27,103
2018-03-28,115
2018-03-29,96
2018-03-30,96
2018-03-31,91
2018-04-01,112
2018-04-02,113
2018-04-03,140
2018-04-04,129
2018-04-05,99
2018-04-06,85
2018-04-07,112
2018-04-08,113
2018-04-09,130
2018-04-10,92
2018-04-11,103
2018-04-12,91
2018-04-13,87
2018-04-14,114
2018-04-15,110
2018-04-16,120
2018-04-17,98
2018-04-18,101
2018-04-19,81
2018-04-20,86
2018-04-21,91
2018-04-22,105
2018-04-23,94
2018-04-24,82
2018-04-25,96
2018-04-26,76
2018-04-27,71
2018-04-28,84
2018-04-29,118
2018-04-30,92
2018-05-01,81
2018-05-02,82
2018-05-03,84
2018-05-04,92
2018-05-05,105
2018-05-06,106
2018-05-07,114
2018-05-08,100
2018-05-09,99
2018-05-10,93
2018-05-11,71
2018-05-12,98
2018-05-13,120
2018-05-14,107
2018-05-15,111
2018-05-16,107
2018-05-17,124
2018-05-18,102
2018-05-19,144
2018-05-20,153
2018-05-21,182
2018-05-22,124
2018-05-23,120
2018-05-24,154
2018-05-25,132
2018-05-26,144
2018-05-27,118
2018-05-28,161
2018-05-29,156
2018-05-30,123
2018-05-31,137
2018-06-01,100
2018-06-02,120
2018-06-03,118
2018-06-04,108
2018-06-05,106
2018-06-06,91
2018-06-07,101
2018-06-08,107
2018-06-09,108
2018-06-10,132
2018-06-11,134
2018-06-12,126
2018-06-13,109
2018-06-14,131
2018-06-15,114
2018-06-16,142
2018-06-17,122
2018-06-18,129
2018-06-19,117
2018-06-20,139
2018-06-21,143
2018-06-22,146
2018-06-23,105
2018-06-24,145
2018-06-25,159
2018-06-26,125
2018-06-27,152
2018-06-28,161
2018-06-29,132
2018-06-30,150
2018-07-01,148
2018-07-02,167
2018-07-03,146
2018-07-04,117
2018-07-05,139
2018-07-06,143
2018-07-07,142
2018-07-08,155
2018-07-09,182
2018-07-10,159
2018-07-11,176
2018-07-12,177
2018-07-13,149
2018-07-14,148
2018-07-15,148
2018-07-16,190
2018-07-17,207
2018-07-18,243
2018-07-19,185
2018-07-20,188
2018-07-21,178
2018-07-22,214
2018-07-23,194
2018-07-24,227
2018-07-25,243
2018-07-26,186
2018-07-27,194
2018-07-28,174
2018-07-29,203
2018-07-30,210
2018-07-31,204
2018-08-01,218
2018-08-02,195
2018-08-03,195
2018-08-04,210
2018-08-05,220
2018-08-06,210
2018-08-07,223
2018-08-08,168
2018-08-09,187
2018-08-10,166
2018-08-11,167
2018-08-12,169
2018-08-13,200
2018-08-14,170
2018-08-15,182
2018-08-16,159
2018-08-17,192
2018-08-18,175
2018-08-19,192
2018-08-20,178
2018-08-21,163
2018-08-22,188
2018-08-23,144
2018-08-24,174
2018-08-25,162
2018-08-26,201
2018-08-27,159
2018-08-28,154
2018-08-29,173
2018-08-30,173
2018-08-31,155
2018-09-01,160
2018-09-02,178
2018-09-03,215
2018-09-04,152
2018-09-05,146
2018-09-06,165
2018-09-07,140
2018-09-08,161
2018-09-09,191
2018-09-10,167
2018-09-11,166
2018-09-12,142
2018-09-13,168
2018-09-14,150
2018-09-15,169
2018-09-16,219
2018-09-17,192
2018-09-18,141
2018-09-19,150
2018-09-20,156
2018-09-21,186
2018-09-22,180
2018-09-23,198
2018-09-24,211
2018-09-25,196
2018-09-26,143
2018-09-27,139
2018-09-28,166
2018-09-29,175
2018-09-30,217
2018-10-01,177
2018-10-02,182
2018-10-03,178
2018-10-04,172
2018-10-05,179
2018-10-06,216
2018-10-07,285
2018-10-08,253
2018-10-09,211
2018-10-10,152
2018-10-11,164
2018-10-12,154
2018-10-13,183
2018-10-14,210
2018-10-15,193
2018-10-16,185
2018-10-17,170
2018-10-18,177
