date,sessions,purchases,revenue
2023-10-13,8301,48,13695.93
2023-10-14,8504,39,9015.71
2023-10-15,8345,48,11710.89
2023-10-16,7901,41,12784.6
2023-10-17,8150,33,8314.94
2023-10-18,8540,38,9993.07
2023-10-19,7727,28,6681.57
2023-10-20,7712,38,8513.36
2023-10-21,8310,31,8635.78
2023-10-22,9650,36,8731.71
2023-10-23,8735,29,7712.31
2023-10-24,8700,31,8407.56
2023-10-25,9535,50,13403.37
2023-10-26,8508,54,12581.77
2023-10-27,8301,48,8356.78
2023-10-28,7675,41,11493.92
2023-10-29,8186,37,9393.9
2023-10-30,7586,30,6499.88
2023-10-31,7372,40,9144.34
2023-11-01,8878,41,12061.24
2023-11-02,8710,30,8328.9
2023-11-03,8539,42,11195.84
2023-11-04,8778,45,8983.79
2023-11-05,9770,53,11720.64
2023-11-06,8757,45,9174.8
2023-11-07,8521,33,8136.38
2023-11-08,8301,38,8643.94
2023-11-09,8878,53,14336.83
2023-11-10,8499,40,7641.63
2023-11-11,9521,45,9656.53
2023-11-12,9265,50,9667.18
2023-11-13,9051,33,7440.96
2023-11-14,9373,46,11413.26
2023-11-15,9656,55,11624.54
2023-11-16,9933,51,12582.32
2023-11-17,9987,65,16007.98
2023-11-18,10775,68,14343.04
2023-11-19,12208,88,21936.7
2023-11-20,11776,78,16011.44
2023-11-21,12324,74,13622.51
2023-11-22,13265,138,30555.77
2023-11-23,15108,144,30331.46
2023-11-24,18072,300,59779.57
2023-11-25,15412,152,31766.04
2023-11-26,14019,192,38682.14
2023-11-27,14677,195,39666.24
2023-11-28,12807,181,37065.12
2023-11-29,11808,123,26812.17
2023-11-30,11632,151,30406.04
2023-12-01,10717,127,23651.92
2023-12-02,10847,100,23303.45
2023-12-03,11302,104,19780.97
2023-12-04,10736,89,18326.88
2023-12-05,10692,102,21014.09
2023-12-06,9847,80,14304.34
2023-12-07,9847,97,18379.8
2023-12-08,10050,108,22100.72
2023-12-09,10286,120,24040.69
2023-12-10,11304,76,14009.81
2023-12-11,10335,107,20693.12
2023-12-12,10307,108,21082.06
2023-12-13,9748,66,14045.73
2023-12-14,9164,76,21373.37
2023-12-15,8815,90,16079.14
2023-12-16,9281,61,11208.68
2023-12-17,9923,64,9300.47
2023-12-18,9834,90,15490.69
2023-12-19,9322,65,13821.62
2023-12-20,8579,54,11097.39
2023-12-21,8812,55,14330.17
2023-12-22,8680,55,11883.95
2023-12-23,9043,41,8064.17
2023-12-24,9298,41,8651.69
2023-12-25,12061,54,11158.21
2023-12-26,14332,112,28106.14
2023-12-27,11619,86,17815.05
2023-12-28,11070,88,19512.09
2023-12-29,11219,78,17740.13
2023-12-30,9981,62,11678.02
2023-12-31,8861,52,10555.67
2024-01-01,9415,64,14089.76
2024-01-02,10288,66,17218.74
2024-01-03,9749,61,12713.76
2024-01-04,9090,58,11812.38
2024-01-05,9322,67,13102.98
2024-01-06,9835,68,13371.8
2024-01-07,10641,58,10759.31
2024-01-08,10315,79,20505.59
2024-01-09,9701,55,12200.02
2024-01-10,9723,70,16176.32
2024-01-11,10079,54,11682.38
2024-01-12,9839,83,15918.21
2024-01-13,10405,90,16872.37
2024-01-14,11197,74,14360.09
2024-01-15,9321,43,14027.72
2024-01-16,9400,47,8092.62
2024-01-17,9353,75,15616.77
2024-01-18,9207,62,15188.05
2024-01-19,9826,77,14643.2
2024-01-20,10189,100,20695.78
2024-01-21,9836,80,13406.8
2024-01-22,8775,50,11309.37
2024-01-23,9383,42,8624.68
2024-01-24,9569,63,15493.22
2024-01-25,8608,41,8280.22
2024-01-26,8151,50,9111.88
2024-01-27,8914,30,5686.62
2024-01-28,9221,31,4897.55
2024-01-29,9006,39,7078.73
2024-01-30,8728,27,6565.9
2024-01-31,8630,69,13339.51
2024-02-01,8725,44,7661.9
2024-02-02,7720,37,7671.43
2024-02-03,8612,46,11922.77
2024-02-04,9016,44,9731.41
2024-02-05,8446,26,6279.63
2024-02-06,8003,48,12375.62
2024-02-07,8225,35,7820.53
2024-02-08,8353,49,10673.17
2024-02-09,8736,37,8637.01
2024-02-10,8492,34,6599.06
2024-02-11,8833,34,6340.92
2024-02-12,8381,33,6422.63
2024-02-13,8056,31,7978.36
2024-02-14,7614,49,13818.98
2024-02-15,8491,54,12348.78
2024-02-16,8281,56,17296.18
2024-02-17,8589,50,12828.39
2024-02-18,9050,44,12282.95
2024-02-19,8619,56,11817.87
2024-02-20,9121,45,10667.92
2024-02-21,9215,56,15005.02
2024-02-22,8459,24,3993.29
2024-02-23,8158,46,11229.31
2024-02-24,8700,39,6995.61
2024-02-25,8817,44,9876.1
2024-02-26,8864,78,17760.11
2024-02-27,9152,96,20601.48
2024-02-28,9392,78,17037.43
2024-02-29,7875,38,7019.4
2024-03-01,7741,49,10284.45
2024-03-02,8531,39,9212.69
2024-03-03,9634,38,5859.75
2024-03-04,8258,60,14653.37
2024-03-05,7560,36,8656.13
2024-03-06,8084,66,15521.95
2024-03-07,8445,64,16524.88
2024-03-08,7634,42,9183.8
2024-03-09,8595,65,16035.99
2024-03-10,8678,43,9243.2
2024-03-11,8509,50,8865.14
2024-03-12,7931,49,10971.36
2024-03-13,8274,59,11594.76
2024-03-14,8151,52,12045.43
2024-03-15,7401,54,10836.57
2024-03-16,8954,47,13010.73
2024-03-17,8811,33,7368.88
2024-03-18,8366,35,8126.55
2024-03-19,8081,40,9386.87
2024-03-20,8398,45,9043.14
2024-03-21,7978,53,9513.71
2024-03-22,7938,40,8206.17
2024-03-23,8253,36,8794.13
2024-03-24,8675,42,10866.65
2024-03-25,8535,55,12701.74
2024-03-26,8107,46,10074.34
2024-03-27,7514,42,10241.7
2024-03-28,7897,50,9625.33
2024-03-29,8382,50,9145.75
2024-03-30,8541,60,14005.33
2024-03-31,8403,45,11406.22
2024-04-01,9533,54,12834.1
2024-04-02,13429,57,13964.24
2024-04-03,11925,62,11926.74
2024-04-04,8883,45,8830.97
2024-04-05,12070,47,10054.07
2024-04-06,10327,55,15108.43
2024-04-07,9627,42,9329.76
2024-04-08,9285,36,8710.79
2024-04-09,8655,52,12222.79
2024-04-10,8488,44,9577.94
2024-04-11,12204,64,16919.73
2024-04-12,9214,84,14386.47
2024-04-13,9410,85,18961.85
2024-04-14,9659,87,17093.19
2024-04-15,8759,31,5338.93
2024-04-16,8248,40,9508.71
2024-04-17,8794,41,9460.48
2024-04-18,8102,49,10752.35
2024-04-19,8116,41,9504.65
2024-04-20,8335,37,6772.29
2024-04-21,8507,43,12217.45
2024-04-22,8703,42,9608.91
2024-04-23,8576,44,11165.32
2024-04-24,11237,38,8428.06
2024-04-25,8371,45,7625.66
2024-04-26,7821,38,10979.51
2024-04-27,8459,50,10554.66
2024-04-28,10014,41,9546.62
2024-04-29,8167,45,9406.01
2024-04-30,7699,41,7405.01
2024-05-01,7972,61,15575.29
2024-05-02,8420,35,7299.27
2024-05-03,7852,35,6326.18
2024-05-04,8446,47,12855.05
2024-05-05,9185,43,11697.47
2024-05-06,9031,43,10207.98
