date,channel,user_type,sessions,revenue,purchases,engaged_sessions,shipping,tax
2023-02-01,Affiliates,established,516,5905.24,30,364,223.5,243.86
2023-02-01,Affiliates,new,1643,11937.66,74,1159,707.85,710.72
2023-02-01,Direct,(not set),516,1189.67,7,175,20,54.36
2023-02-01,Direct,established,4455,9053.41,64,3583,630,93.05
2023-02-01,Direct,new,19381,53818.08,367,10072,3821.34,2783.61
2023-02-01,Display,(not set),2,0,0,1,0,0
2023-02-01,Display,established,48,221.83,1,20,0,0
2023-02-01,Display,new,53,0,0,8,0,0
2023-02-01,Email,(not set),612,2742.69,15,412,86,154.64
2023-02-01,Email,established,4111,12105.6,77,2749,613.45,778.76
2023-02-01,Email,new,11486,24784.1,149,6611,1189.74,1534.3
2023-02-01,Organic Search,(not set),137,515.43,3,93,31.56,80.38
2023-02-01,Organic Search,established,1196,2535.55,19,867,230.41,164.9
2023-02-01,Organic Search,new,8628,16305.58,101,6323,1088.71,1226.46
2023-02-01,Organic Shopping,(not set),8,0,0,3,0,0
2023-02-01,Organic Shopping,established,83,488.24,3,59,44,18.72
2023-02-01,Organic Shopping,new,290,323.63,2,195,23,17.3
2023-02-01,Organic Social,(not set),18,166.88,2,17,23,11.42
2023-02-01,Organic Social,established,156,495.29,3,117,42.5,33.54
2023-02-01,Organic Social,new,794,1290.38,6,613,30,87.25
2023-02-01,Organic Video,new,3,0,0,1,0,0
2023-02-01,Paid Search,(not set),383,1474.52,12,253,147,80.54
2023-02-01,Paid Search,established,2797,5093.86,44,1822,424.5,250.28
2023-02-01,Paid Search,new,19846,46782.55,360,12957,3899.19,2678.46
2023-02-01,Paid Social,(not set),244,286.89,2,162,10,19.97
2023-02-01,Paid Social,established,2419,5537.09,34,1480,228,335.89
2023-02-01,Paid Social,new,7136,7831.86,60,3785,421.5,426.81
2023-02-01,Payment Redirects,(not set),28,868.5,5,24,101,57.9
2023-02-01,Payment Redirects,established,99,658.43,5,74,55.5,30.51
2023-02-01,Payment Redirects,new,267,3318.9,22,196,227.5,157.03
2023-02-01,Referral,(not set),8,0,0,5,0,0
2023-02-01,Referral,established,62,618.99,3,46,45.78,86.14
