date,platform,users
2023-05-18,Android,167
2023-05-19,web,8811
2023-05-19,iOS,851
2023-05-19,Android,145
2023-05-20,web,7750
2023-05-20,iOS,912
2023-05-20,Android,144
2023-05-21,web,8392
2023-05-21,iOS,920
2023-05-21,Android,127
2023-05-22,web,8407
2023-05-22,iOS,813
2023-05-22,Android,141
2023-05-23,web,7815
2023-05-23,iOS,772
2023-05-23,Android,157
2023-05-24,web,9947
2023-05-24,iOS,1000
2023-05-24,Android,185
2023-05-25,web,13523
2023-05-25,iOS,1177
2023-05-25,Android,183
2023-05-26,web,11513
2023-05-26,iOS,1042
2023-05-26,Android,197
2023-05-27,web,10973
2023-05-27,iOS,1082
2023-05-27,Android,192
2023-05-28,web,10633
2023-05-28,iOS,1041
2023-05-28,Android,165
2023-05-29,web,11843
2023-05-29,iOS,1156
2023-05-29,Android,158
2023-05-30,web,10511
2023-05-30,iOS,950
2023-05-30,Android,145
2023-05-31,web,10602
2023-05-31,iOS,985
2023-05-31,Android,189
2023-06-01,web,7693
2023-06-01,iOS,819
2023-06-01,Android,125
2023-06-02,web,7099
2023-06-02,iOS,864
2023-06-02,Android,131
2023-06-03,web,7928
2023-06-03,iOS,882
2023-06-03,Android,131
2023-06-04,web,8247
2023-06-04,iOS,915
2023-06-04,Android,147
2023-06-05,web,10013
2023-06-05,iOS,1031
2023-06-05,Android,159
2023-06-06,web,9374
2023-06-06,iOS,963
2023-06-06,Android,176
2023-06-07,web,9480
2023-06-07,iOS,984
2023-06-07,Android,138
2023-06-08,web,8211
2023-06-08,iOS,890
2023-06-08,Android,139
2023-06-09,web,7079
2023-06-09,iOS,814
2023-06-09,Android,116
2023-06-10,web,6880
2023-06-10,iOS,829
2023-06-10,Android,120
2023-06-11,web,8565
2023-06-11,iOS,951
2023-06-11,Android,143
2023-06-12,web,7855
2023-06-12,iOS,839
2023-06-12,Android,124
2023-06-13,web,7662
2023-06-13,iOS,896
2023-06-13,Android,134
2023-06-14,web,8186
2023-06-14,iOS,884
2023-06-14,Android,143
2023-06-15,web,8683
2023-06-15,iOS,1024
2023-06-15,Android,146
2023-06-16,web,7697
2023-06-16,iOS,900
2023-06-16,Android,140
2023-06-17,web,8578
2023-06-17,iOS,939
2023-06-17,Android,117
2023-06-18,web,9516
2023-06-18,iOS,1056
2023-06-18,Android,112
2023-06-19,web,7541
2023-06-19,iOS,863
2023-06-19,Android,115
2023-06-20,web,7478
2023-06-20,iOS,852
2023-06-20,Android,125
2023-06-21,web,7337
2023-06-21,iOS,883
2023-06-21,Android,105
2023-06-22,web,7464
2023-06-22,iOS,853
2023-06-22,Android,117
2023-06-23,web,7656
2023-06-23,iOS,826
2023-06-23,Android,98
2023-06-24,web,6895
2023-06-24,iOS,839
2023-06-24,Android,120
2023-06-25,web,7571
2023-06-25,iOS,874
2023-06-25,Android,120
2023-06-26,web,7881
2023-06-26,iOS,943
2023-06-26,Android,139
2023-06-27,web,10887
2023-06-27,iOS,1223
2023-06-27,Android,151
2023-06-28,web,10126
2023-06-28,iOS,1206
2023-06-28,Android,158
2023-06-29,web,11449
2023-06-29,iOS,1255
2023-06-29,Android,144
2023-06-30,web,10891
2023-06-30,iOS,1169
2023-06-30,Android,150
2023-07-01,web,11431
2023-07-01,iOS,1098
2023-07-01,Android,146
2023-07-02,web,11437
2023-07-02,iOS,1216
2023-07-02,Android,149
2023-07-03,web,9618
2023-07-03,iOS,1191
2023-07-03,Android,144
2023-07-04,web,10143
2023-07-04,iOS,1086
2023-07-04,Android,152
2023-07-05,web,9511
2023-07-05,iOS,1147
2023-07-05,Android,128
2023-07-06,web,8009
2023-07-06,iOS,984
2023-07-06,Android,130
2023-07-07,web,7147
2023-07-07,iOS,923
2023-07-07,Android,123
2023-07-08,web,8038
2023-07-08,iOS,984
2023-07-08,Android,121
2023-07-09,web,8919
2023-07-09,iOS,1095
2023-07-09,Android,147
2023-07-10,web,7954
2023-07-10,iOS,1055
2023-07-10,Android,127
2023-07-11,web,10113
2023-07-11,iOS,1303
2023-07-11,Android,137
2023-07-12,web,10881
2023-07-12,iOS,1318
2023-07-12,Android,157
2023-07-13,web,13516
2023-07-13,iOS,1587
2023-07-13,Android,146
2023-07-14,web,12299
2023-07-14,iOS,1542
2023-07-14,Android,161
2023-07-15,web,11887
2023-07-15,iOS,1410
2023-07-15,Android,152
2023-07-16,web,13717
2023-07-16,iOS,1705
2023-07-16,Android,149
2023-07-17,web,12381
2023-07-17,iOS,1616
2023-07-17,Android,157
2023-07-18,web,11934
2023-07-18,iOS,1564
2023-07-18,Android,181
2023-07-19,web,11826
2023-07-19,iOS,1662
2023-07-19,Android,157
2023-07-20,web,12222
2023-07-20,iOS,1466
2023-07-20,Android,134
2023-07-21,web,10294
2023-07-21,iOS,1463
2023-07-21,Android,153
2023-07-22,web,9850
2023-07-22,iOS,1375
2023-07-22,Android,135
2023-07-23,web,10593
2023-07-23,iOS,1535
2023-07-23,Android,146
2023-07-24,web,11367
2023-07-24,iOS,1572
2023-07-24,Android,164
2023-07-25,web,10528
2023-07-25,iOS,1581
2023-07-25,Android,147
2023-07-26,web,11361
2023-07-26,iOS,1568
2023-07-26,Android,138
2023-07-27,web,11988
2023-07-27,iOS,1612
2023-07-27,Android,155
2023-07-28,web,11447
2023-07-28,iOS,1440
2023-07-28,Android,152
2023-07-29,web,12465
2023-07-29,iOS,1480
2023-07-29,Android,154
2023-07-30,web,13049
2023-07-30,iOS,1675
2023-07-30,Android,135
2023-07-31,web,11217
2023-07-31,iOS,1617
2023-07-31,Android,133
2023-08-01,web,10371
2023-08-01,iOS,1519
2023-08-01,Android,142
2023-08-02,web,11166
2023-08-02,iOS,1557
2023-08-02,Android,153
2023-08-03,web,11542
2023-08-03,iOS,1646
2023-08-03,Android,147
2023-08-04,web,10408
2023-08-04,iOS,1482
2023-08-04,Android,144
2023-08-05,web,10219
2023-08-05,iOS,1442
2023-08-05,Android,139
2023-08-06,web,10725
2023-08-06,iOS,1527
2023-08-06,Android,159
2023-08-07,web,10551
2023-08-07,iOS,1529
2023-08-07,Android,127
2023-08-08,web,11132
2023-08-08,iOS,1471
2023-08-08,Android,150
2023-08-09,web,10977
2023-08-09,iOS,1492
2023-08-09,Android,145
2023-08-10,web,10137
2023-08-10,iOS,1354
2023-08-10,Android,146
2023-08-11,web,9315
2023-08-11,iOS,1402
2023-08-11,Android,151
2023-08-12,web,9427
2023-08-12,iOS,1370
2023-08-12,Android,134
2023-08-13,web,9779
2023-08-13,iOS,1454
2023-08-13,Android,151
2023-08-14,web,14885
2023-08-14,iOS,1641
2023-08-14,Android,201
2023-08-15,web,15997
2023-08-15,iOS,1746
2023-08-15,Android,218
2023-08-16,web,15199
2023-08-16,iOS,1624
2023-08-16,Android,166
2023-08-17,web,10028
2023-08-17,iOS,1324
2023-08-17,Android,159
2023-08-18,web,9817
2023-08-18,iOS,1220
2023-08-18,Android,160
2023-08-19,web,10211
2023-08-19,iOS,1371
2023-08-19,Android,158
2023-08-20,web,10746
2023-08-20,iOS,1513
2023-08-20,Android,176
2023-08-21,web,9837
2023-08-21,iOS,1249
2023-08-21,Android,139
2023-08-22,web,9505
2023-08-22,iOS,1207
2023-08-22,Android,161
2023-08-23,web,9912
2023-08-23,iOS,1260
2023-08-23,Android,156
2023-08-24,web,11405
2023-08-24,iOS,1308
2023-08-24,Android,197
2023-08-25,web,10616
2023-08-25,iOS,1219
2023-08-25,Android,190
2023-08-26,web,10520
2023-08-26,iOS,1341
2023-08-26,Android,219
2023-08-27,web,9381
2023-08-27,iOS,1310
2023-08-27,Android,176
2023-08-28,web,8605
2023-08-28,iOS,1135
2023-08-28,Android,165
2023-08-29,web,12572
2023-08-29,iOS,1562
2023-08-29,Android,214
2023-08-30,web,11743
2023-08-30,iOS,1445
2023-08-30,Android,201
2023-08-31,web,11512
2023-08-31,iOS,1508
2023-08-31,Android,189
2023-09-01,web,10810
2023-09-01,iOS,1498
2023-09-01,Android,200
2023-09-02,web,11083
2023-09-02,iOS,1616
2023-09-02,Android,205
2023-09-03,web,12889
2023-09-03,iOS,1690
2023-09-03,Android,200
2023-09-04,web,13846
2023-09-04,iOS,1724
2023-09-04,Android,228
2023-09-05,web,10918
2023-09-05,iOS,1240
2023-09-05,Android,169
2023-09-06,web,10901
2023-09-06,iOS,1073
2023-09-06,Android,145
2023-09-07,web,9236
2023-09-07,iOS,1114
2023-09-07,Android,169
2023-09-08,web,9507
2023-09-08,iOS,1067
2023-09-08,Android,147
2023-09-09,web,9122
2023-09-09,iOS,1283
2023-09-09,Android,153
2023-09-10,web,9945
2023-09-10,iOS,1341
2023-09-10,Android,151
2023-09-11,web,9115
2023-09-11,iOS,1261
2023-09-11,Android,136
2023-09-12,web,11271
2023-09-12,iOS,1473
2023-09-12,Android,150
2023-09-13,web,11603
2023-09-13,iOS,1516
2023-09-13,Android,188
2023-09-14,web,9774
2023-09-14,iOS,1235
2023-09-14,Android,128
2023-09-15,web,9234
2023-09-15,iOS,1369
2023-09-15,Android,149
2023-09-16,web,8928
2023-09-16,iOS,1228
2023-09-16,Android,142
2023-09-17,web,11261
2023-09-17,iOS,1394
2023-09-17,Android,181
2023-09-18,web,16443
2023-09-18,iOS,1957
2023-09-18,Android,211
2023-09-19,web,16154
2023-09-19,iOS,1867
2023-09-19,Android,222
2023-09-20,web,14770
2023-09-20,iOS,1835
2023-09-20,Android,215
2023-09-21,web,11641
2023-09-21,iOS,1346
2023-09-21,Android,150
2023-09-22,web,10490
2023-09-22,iOS,1465
2023-09-22,Android,178
2023-09-23,web,10794
2023-09-23,iOS,1423
2023-09-23,Android,149
2023-09-24,web,11108
2023-09-24,iOS,1488
2023-09-24,Android,177
2023-09-25,web,11327
2023-09-25,iOS,1328
2023-09-25,Android,135
2023-09-26,web,15832
2023-09-26,iOS,1764
2023-09-26,Android,168
2023-09-27,web,16613
2023-09-27,iOS,1792
2023-09-27,Android,180
2023-09-28,web,15924
2023-09-28,iOS,1730
2023-09-28,Android,182
2023-09-29,web,11957
2023-09-29,iOS,1429
2023-09-29,Android,170
2023-09-30,web,11927
2023-09-30,iOS,1481
2023-09-30,Android,129
2023-10-01,web,11431
2023-10-01,iOS,1467
2023-10-01,Android,158
2023-10-02,web,10985
2023-10-02,iOS,1577
2023-10-02,Android,147
2023-10-03,web,12222
2023-10-03,iOS,1593
2023-10-03,Android,138
2023-10-04,web,13436
2023-10-04,iOS,1501
2023-10-04,Android,137
2023-10-05,web,12482
2023-10-05,iOS,1620
2023-10-05,Android,163
2023-10-06,web,9231
2023-10-06,iOS,1343
2023-10-06,Android,138
2023-10-07,web,9301
2023-10-07,iOS,1517
2023-10-07,Android,143
2023-10-08,web,10581
2023-10-08,iOS,1625
2023-10-08,Android,169
2023-10-09,web,10484
2023-10-09,iOS,1576
2023-10-09,Android,170
2023-10-10,web,9797
2023-10-10,iOS,1499
2023-10-10,Android,148
2023-10-11,web,12089
2023-10-11,iOS,1802
2023-10-11,Android,191
2023-10-12,web,12146
2023-10-12,iOS,1583
2023-10-12,Android,155
2023-10-13,web,12610
2023-10-13,iOS,1760
2023-10-13,Android,182
2023-10-14,web,12090
2023-10-14,iOS,1657
2023-10-14,Android,171
2023-10-15,web,13303
2023-10-15,iOS,1827
2023-10-15,Android,192
2023-10-16,web,12840
2023-10-16,iOS,1652
2023-10-16,Android,160
2023-10-17,web,13019
2023-10-17,iOS,1680
2023-10-17,Android,173
2023-10-18,web,12888
