date,sessions,engaged_sessions
2024-03-16,151385,
2024-03-17,158540,
2024-03-18,156058,
2024-03-19,155103,
2024-03-20,158294,
2024-03-21,142034,
2024-03-22,145172,
2024-03-23,162753,
2024-03-24,172021,
2024-03-25,154662,
2024-03-26,140805,
2024-03-27,143325,
2024-03-28,144233,
2024-03-29,132495,
2024-03-30,133143,
2024-03-31,140983,
2024-04-01,146439,
2024-04-02,151426,
2024-04-03,142777,
2024-04-04,138878,
2024-04-05,140322,
2024-04-06,133278,
2024-04-07,144111,
2024-04-08,144436,
2024-04-09,136381,
2024-04-10,134080,
2024-04-11,148774,
2024-04-12,147673,
2024-04-13,155316,
2024-04-14,162692,
2024-04-15,160574,
2024-04-16,148479,
2024-04-17,158373,
2024-04-18,144384,
2024-04-19,143020,
2024-04-20,130179,
2024-04-21,131653,
2024-04-22,129994,
2024-04-23,136760,
2024-04-24,145753,
2024-04-25,134016,
2024-04-26,134156,
2024-04-27,138869,
2024-04-28,153249,
2024-04-29,143371,
2024-04-30,133923,
2024-05-01,140883,
2024-05-02,138458,
2024-05-03,131027,
2024-05-04,152222,
2024-05-05,140900,
2024-05-06,134926,
2024-05-07,132735,
2024-05-08,147376,
2024-05-09,156039,
2024-05-10,137789,
2024-05-11,140559,
2024-05-12,139548,
2024-05-13,140795,
2024-05-14,134270,
2024-05-15,129011,
2024-05-16,129861,
2024-05-17,127101,
2024-05-18,135241,
2024-05-19,140662,
2024-05-20,136623,
2024-05-21,125648,
2024-05-22,146640,
2024-05-23,152360,
2024-05-24,149848,
2024-05-25,153885,
2024-05-26,165959,
2024-05-27,172313,
2024-05-28,154858,
2024-05-29,144324,
2024-05-30,129307,
2024-05-31,123047,
2024-06-01,123454,
2024-06-02,130925,
2024-06-03,118020,
2024-06-04,116830,
2024-06-05,123305,
2024-06-06,121455,
2024-06-07,110891,
2024-06-08,119054,
2024-06-09,128442,
2024-06-10,120621,
2024-06-11,134745,
2024-06-12,136485,
2024-06-13,141399,
2024-06-14,142583,
2024-06-15,132350,
2024-06-16,132222,
2024-06-17,132177,
2024-06-18,170543,
2024-06-19,137086,
2024-06-20,142102,
2024-06-21,145070,
2024-06-22,132132,
2024-06-23,135741,
2024-06-24,137197,
2024-06-25,136826,
2024-06-26,132375,
2024-06-27,137177,
2024-06-28,127083,
2024-06-29,125116,
2024-06-30,155750,
2024-07-01,158052,
2024-07-02,155987,
2024-07-03,148884,
2024-07-04,132067,
2024-07-05,140280,
2024-07-06,148531,
2024-07-07,142965,
2024-07-08,164860,
2024-07-09,136049,
2024-07-10,129721,
2024-07-11,127031,
2024-07-12,151868,
2024-07-13,157439,
2024-07-14,156849,
