style_color,=1/0,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
207652-4816,207652,OP,24S2,,,0,0,0,YES,,59,34.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207652-8302,207652,OP,24S2,1/25/2024,45328,-22,1427,0,YES,LIVE,59,34.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207690-1001,207690,OP,24S1,1/10/2024,,0,0,1500,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207690-1700,207690,OP,24S1,1/10/2024,45308,-3,0,800,YES,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207690-4792,207690,OP,24S1,1/10/2024,45304,-1,0,0,YES,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207691-1001,207691,OP,24S3,2/19/2024,,0,0,1300,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207691-1700,207691,OP,24S3,2/19/2024,45345,16,16,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207691-8302,207691,OP,24S3,,,0,0,1500,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207692-1001,207692,OP,24S1,8/13/2024,45303,0,0,0,YES,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207692-1700,207692,OP,24S1,8/13/2024,45307,114,110,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207692-5157,207692,OP,24S1,,,0,0,0,YES,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207692-6515,207692,OP,24S1,,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207696-1001,207696,OP,24S3,5/3/2024,45356,10,10,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207696-1700,207696,OP,24S3,5/3/2024,45356,0,11,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207696-6000,207696,OP,24S3,,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207723-1001,207723,FP,24M1,4/11/2024,45409,33,33,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207725-1001,207725,OP,24S2,,,0,0,0,YES,,69,69,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207725-1700,207725,OP,24S2,,,0,0,0,YES,,69,69,50% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207733-1001,207733,FP,24M1,4/18/2024,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
