style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
207191C-9820,FP,23F1,6/30/2023,45141,20,20,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207196C-IAWM,FP,23F1,7/28/2023,45148,7,5,0,YES,LIVE,149,124.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207197C-IAWD,FP,23F1,7/28/2023,,0,0,0,YES,,149,124.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207198C-IAVM,FP,23F1,8/1/2023,45147,34,34,0,YES,LIVE,149,124.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207234-1001,FP,23H2,11/3/2023,45252,73,99,0,YES,LIVE,129,109.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207234-2046,FP,23H2,11/2/2023,45246,184,182,0,YES,LIVE,129,109.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207374C-1001,FP,23F1,6/21/2023,45105,1,1,0,YES,LIVE,119,74.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207374C-9819,FP,23F1,6/21/2023,45105,15,12,0,YES,LIVE,119,74.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207445-IAQM,FP,24S1,1/18/2024,45316,233,251,0,YES,LIVE,149,149,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207473-IJML,FP,24S2,2/9/2024,45336,194,220,0,YES,LIVE,149,149,99,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207557C-1001,FP,23H1,10/7/2023,,0,0,0,YES,,139,119.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207651-1001,OP,24S3,,,0,0,488,YES,,129,129,79,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207651-1700,OP,24S3,,,0,0,0,YES,,129,129,79,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207651-8302,OP,24S3,,,0,0,0,YES,,129,129,79,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207914-9629,FP,24S3,2/27/2024,,284,529,0,YES,,79,79,,REG,SET LIVE,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208001C-INED,FP,23H2,11/7/2023,45257,267,267,0,YES,LIVE,149,124.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
